category,material,material_cost,labour_cost,size,weight,market_min,market_avg,market_max,demand_score,price
Cane Furniture,Bamboo,910,1180,47.88,3.02,1811.6,2319,2468.62,0.89,4726.32
Embroidered Cloth,Cotton,819,393,50.78,1.14,1294.62,1365,1643.97,0.69,2824.54
Terracotta,Jute,524,1132,26.99,0.33,2385.02,2897,3372.16,0.83,4203.18
Terracotta,Wood,696,70,29.78,0.16,707.34,750,939.07,0.44,1522.86
Handloom Saree,Clay,1413,141,29.21,0.7,2480.43,2706,2958.58,0.51,3785.38
Embroidered Cloth,Silk,1179,752,51.33,2.3,326.07,351,421.02,0.94,3207.39
Metal Craft,Cane,1325,1066,57.86,4.24,3192.95,3970,4991.02,0.49,5842.67
Terracotta,Jute,570,697,5.3,4.1,2489.43,2790,3480.65,0.68,3410.8
Handmade Jewellery,Cane,1067,90,55.32,4.27,758.23,929,990.21,0.45,2527.63
Metal Craft,Silk,1010,662,58.44,4.26,1015.74,1178,1463.95,0.6,3284.12
Terracotta,Beads,941,913,40.0,1.64,217.83,245,265.78,0.68,2881.79
Cane Furniture,Wood,1159,627,39.34,1.55,2966.98,3210,4015.45,0.35,4408.13
Handmade Jewellery,Cane,1421,239,11.05,1.22,2585.5,2830,3580.47,0.21,3591.24
Handloom Saree,Jute,1307,733,18.43,0.92,3323.68,3893,4771.86,0.49,5072.84
Jute Bag,Beads,613,1186,13.14,4.99,739.38,848,996.97,0.24,3180.93
Wooden Craft,Clay,1126,779,59.21,1.29,754.68,985,1125.28,0.39,3406.24
Embroidered Cloth,Brass,933,247,26.94,4.1,2146.84,2341,2645.79,0.35,3122.59
Bamboo Basket,Wood,1419,196,24.18,0.57,566.66,638,731.58,0.95,2754.58
Jute Bag,Terracotta,522,200,34.78,3.51,363.38,412,516.77,0.64,1450.6
Handloom Saree,Cotton,1233,1064,23.65,1.81,2769.95,3013,3808.68,0.52,4999.72
Jute Bag,Brass,677,636,56.46,3.95,220.44,253,266.23,0.28,2298.68
Embroidered Cloth,Wood,1006,210,5.99,2.52,867.82,965,1169.97,0.88,2335.69
Jute Bag,Jute,737,509,32.98,3.22,954.56,1195,1545.44,0.51,2679.97
Pottery,Cotton,847,333,41.79,4.33,2877.58,3217,3603.66,0.22,3701.83
Jute Bag,Jute,1245,207,57.47,4.58,2065.35,2296,2957.86,0.46,3762.18
